Source Url,permID,ALIU Index,Last Name,First Name,First Name Last Name,permID,Name Variants
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX31,"Angerer, Josef (Sepp)",Angerer,Josef (Sepp),Josef (Sepp) Angerer,ALIUINDEX31,"Josef (Sepp) Angerer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX32,"Antoine, Henri (alias)",Antoine,Henri (alias),Henri (alias) Antoine,ALIUINDEX32,"Henri (alias) Antoine,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX33,Apfelstaedt,Apfelstaedt,, Apfelstaedt,ALIUINDEX33," Apfelstaedt,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX34,"Apfelstaedt, Dr. Hans Joachim",Apfelstaedt,Dr. Hans Joachim,Dr. Hans Joachim Apfelstaedt,ALIUINDEX34,"Dr. Hans Joachim Apfelstaedt,Hans Joachim Apfelstaedt,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX35,Arbeitsgruppe Louvre,Arbeitsgruppe Louvre,, Arbeitsgruppe Louvre,ALIUINDEX35,"Arbeitsgruppe Louvre,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX36,"Argontir, Prince",Argontir,Prince,Prince Argontir,ALIUINDEX36,"Prince Argontir,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX37,"Armilhon, M.",Armilhon,M.,M. Armilhon,ALIUINDEX37,"M. Armilhon,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX38,"Armstedt, Dr.",Armstedt,Dr.,Dr. Armstedt,ALIUINDEX38,"Dr. Armstedt,Armstedt,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX39,Art Ancien,Art Ancien,, Art Ancien,ALIUINDEX39,"Art Ancien,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX40,"Asta, Ferruccio",Asta,Ferruccio,Ferruccio Asta,ALIUINDEX40,"Ferruccio Asta,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX41,Au Chevalier d'ASSAS,Au Chevalier d'ASSAS,, Au Chevalier d'ASSAS,ALIUINDEX41,"Au Chevalier d'ASSAS,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX42,Au Vieux Paris,Au Vieux Paris,, Au Vieux Paris,ALIUINDEX42,"Au Vieux Paris,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX43,"Aubin, Dr. Hermann",Aubin,Dr. Hermann,Dr. Hermann Aubin,ALIUINDEX43,"Dr. Hermann Aubin,Hermann Aubin,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX44,"Aubing, Dr.",Aubing,Dr.,Dr. Aubing,ALIUINDEX44,"Dr. Aubing,Aubing,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX45,Aubry,Aubry,, Aubry,ALIUINDEX45,"Aubry,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX46,"Augsburg, Dr.",Augsburg,Dr.,Dr. Augsburg,ALIUINDEX46,"Dr. Augsburg,Augsburg,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX47,"Aussee, Alt",Aussee,Alt,Alt Aussee,ALIUINDEX47,"Alt Aussee,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX48,Aussenpolitischeamt,Aussenpolitischeamt,, Aussenpolitischeamt,ALIUINDEX48,"Aussenpolitischeamt,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX49,Aux Vieux Aubussons,Aux Vieux Aubussons,, Aux Vieux Aubussons,ALIUINDEX49,"Aux Vieux Aubussons,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX50,"Bachstitz, Kurt Walter",Bachstitz,Kurt Walter,Kurt Walter Bachstitz,ALIUINDEX50,"Kurt Walter Bachstitz,Walter Bachstitz,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX51,Backemund,Backemund,, Backemund,ALIUINDEX51,"Backemund,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX52,Bacri Collection,Bacri Collection,, Bacri Collection,ALIUINDEX52,"Bacri Collection,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX53,Badels,Badels,, Badels,ALIUINDEX53,"Badels,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX54,"Baeumler, Prof. Dr. Alfred",Baeumler,Prof. Dr. Alfred,Prof. Dr. Alfred Baeumler,ALIUINDEX54,"Prof. Dr. Alfred Baeumler,Alfred Baeumler,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX55,Bagues,Bagues,, Bagues,ALIUINDEX55,"Bagues,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX56,Baillet,Baillet,, Baillet,ALIUINDEX56,"Baillet,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX57,"Balay, Roland",Balay,Roland,Roland Balay,ALIUINDEX57,"Roland Balay,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX58,"Ball, Alexander",Ball,Alexander,Alexander Ball,ALIUINDEX58,"Alexander Ball,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX59,"Bammann, Hans",Bammann,Hans,Hans Bammann,ALIUINDEX59,"Hans Bammann,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX60,"Bange, Prof. Dr. E. Friedrich",Bange,Prof. Dr. E. Friedrich,Prof. Dr. E. Friedrich Bange,ALIUINDEX60,"Prof. Dr. E. Friedrich Bange,Prof. E. Friedrich Bange,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX61,"Baquera, Kusche y Martin",Baquera,Kusche y Martin,Kusche y Martin Baquera,ALIUINDEX61,"Kusche y Martin Baquera,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX62,Barba (or Barbe),Barba (or Barbe),, Barba (or Barbe),ALIUINDEX62,"Barba ,Barbe,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX63,"Barcas, Hugo",Barcas,Hugo,Hugo Barcas,ALIUINDEX63,"Hugo Barcas,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX64,Baron,Baron,, Baron,ALIUINDEX64,"Baron,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX65,"Barreiro, A.",Barreiro,A.,A. Barreiro,ALIUINDEX65,"A. Barreiro,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX66,"Bartel, Director",Bartel,Director,Director Bartel,ALIUINDEX66,"Director Bartel,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX67,"Barthel, (or Bartel) Dr. Gustav",Barthel,(or Bartel) Dr. Gustav,(or Bartel) Dr. Gustav Barthel,ALIUINDEX67,"Dr. Gustav Barthel,Gustav Bartel,Gustav Barthel,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX68,"Bary, Madame",Bary,Madame,Madame Bary,ALIUINDEX68,"Madame Bary,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX69,"Basus, Count",Basus,Count,Count Basus,ALIUINDEX69,"Count Basus,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX70,"Batenburg, J. B.",Batenburg,J. B.,J. B. Batenburg,ALIUINDEX70,"J. B. Batenburg,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX71,"Baudoin, Henri",Baudoin,Henri,Henri Baudoin,ALIUINDEX71,"Henri Baudoin,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX72,"Bauer, A. P.",Bauer,A. P.,A. P. Bauer,ALIUINDEX72,"A. P. Bauer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX73,"Bauer, Frl. P.",Bauer,Frl. P.,Frl. P. Bauer,ALIUINDEX73,"Frl. P. Bauer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX74,"Bauer, Heinrich (alias)",Bauer,Heinrich (alias),Heinrich (alias) Bauer,ALIUINDEX74,"Heinrich (alias) Bauer,,,"
